,vehicle_id,trip_id,route_id,lat,lon,agency_id,route_short_name,route_type,agency_name
0,9031001001004806,14010000724325416,,59.31143569946289,18.098588943481445,,,,
1,9031001001004825,14010000686175833,,59.31017303466797,18.09549903869629,,,,
2,9031001004505580,14010000721147860,,59.75911331176758,18.697059631347656,,,,
3,9031001003005037,14010000597113467,,59.175472259521484,18.142440795898438,,,,
4,9031001006502243,14010000729215016,,59.240604400634766,17.985219955444336,,,,
5,9031001001001540,14010000692075993,,59.317420959472656,18.07018280029297,,,,
6,9031001004505162,14010000720821814,,59.443389892578125,18.09811019897461,,,,
7,9031001003005052,14010000723738971,,59.17317581176758,18.17052459716797,,,,
8,9031001003005363,14010000691057366,,59.28736114501953,18.472190856933594,,,,
9,9031001007500531,14010200693937258,,59.323978424072266,18.094270706176758,,,,
10,9031001001007183,14010000717645843,,59.37086868286133,18.21303939819336,,,,
11,9031001003002811,14010000723019659,,59.28459548950195,17.968656539916992,,,,
12,9031001003005509,14010000723820863,,59.28004837036133,18.075626373291016,,,,
13,9031001003005330,14010000726150899,,59.319549560546875,18.079179763793945,,,,
14,9031001001004133,14010000723304918,,59.42904281616211,17.94843864440918,,,,
15,9031001001007169,14010000689090273,,59.31684112548828,18.045913696289062,,,,
16,9031001003002788,14010000723019618,,59.27935791015625,18.006872177124023,,,,
17,9031001001004043,14010000717645763,,59.35759353637695,18.10236167907715,,,,
18,9031001003005461,14010000720511240,,59.27998733520508,17.960695266723633,,,,
19,9031001003005039,14010000730347386,,59.19441223144531,18.06117820739746,,,,
20,9031001004500464,14010000720568054,,59.61137008666992,17.821502685546875,,,,
21,9031001003005543,14010000720509796,,59.29801940917969,18.073619842529297,,,,
22,9031001003002770,14010000689266806,,59.200130462646484,17.834087371826172,,,,
23,9031001000700471,14010200692211856,,59.332122802734375,18.0621395111084,,,,
24,9031001001500433,14010000700433738,,59.26274108886719,18.12882423400879,,,,
25,9031001003005324,14010000722224087,,59.35123062133789,18.27829360961914,,,,
26,9031001008000636,14010000691584281,,59.324405670166016,18.0921630859375,,,,
27,9031001001007202,14010000686189360,,59.32865524291992,18.061769485473633,,,,
28,9031001004500471,14010000720568253,,59.62910461425781,17.86099624633789,,,,
29,9031001007087653,14010000719416988,,59.29326248168945,18.063634872436523,,,,
30,9031001003005038,14010000725977586,,59.193572998046875,18.181758880615234,,,,
31,9031001001507300,14010000701148187,,59.258079528808594,17.869789123535156,,,,
32,9031001003005079,14010000698073587,,59.18574905395508,18.135417938232422,,,,
33,9031001001004691,14010000717092164,,59.341278076171875,17.88068962097168,,,,
34,9031001004500475,14010000720567850,,59.625953674316406,17.722070693969727,,,,
35,9031001004505143,14010000725352564,,59.43357467651367,18.079038619995117,,,,
36,9031001003005318,14010000691056906,,59.30931091308594,18.12377166748047,,,,
37,9031001003005100,14010000723744632,,59.14372253417969,18.434097290039062,,,,
38,9031001001004631,14010000693483243,,59.38378143310547,17.9456729888916,,,,
39,9031001003005078,14010000722591715,,58.97755813598633,17.912094116210938,,,,
40,9031001003004967,14010000730585919,,58.90167236328125,17.94873809814453,,,,
41,9031001003003507,14010000605017274,,59.48529052734375,17.73931312561035,,,,
42,9031001002500172,,9011001001900000,59.346397399902344,17.88893699645996,505000000000000001,19,401,AB SL Kundtjänst
