,route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,samtrafiken_internal_trip_number
406576,9011114000300000,637,14010000725131569,,,1,6014010000721783744,373
406577,9011114000300000,414,14010000725131741,,,1,6014010000721783571,313
406578,9011114000300000,644,14010000725132183,,,1,6014010000721783744,315
406579,9011114000300000,644,14010000725131849,,,1,6014010000721783701,303
406580,9011114000300000,810,14010000725131913,,,1,6014010000690164554,311
406581,9011114000300000,645,14010000725131930,,,1,6014010000721783792,303
406582,9011114000300000,644,14010000725131647,,,1,6014010000725130895,319
406583,9011114000300000,645,14010000725131728,,,1,6014010000725130932,317
406584,9011114000300000,379,14010000725131797,,,1,6014010000721783744,309
406585,9011114000300000,638,14010000726420948,,,1,6014010000695050289,357
406586,9011114000300000,414,14010000726426238,,,1,6014010000726425878,317
406587,9011114000300000,414,14010000726426291,,,1,6014010000705149534,341
406588,9011114000300000,414,14010000726426339,,,1,6014010000695050712,301
406589,9011114000300000,414,14010000726426358,,,1,6014010000726425987,343
406590,9011114000300000,645,14010000726426404,,,1,6014010000726426016,319
406591,9011114000300000,414,14010000726426317,,,1,6014010000726425941,307
406592,9011114000300000,637,14010000726426187,,,1,6014010000719481868,379
406593,9011114000300000,645,14010000726426441,,,1,6014010000726426053,315
406594,9011114000300000,811,14010000726445298,,,1,6014010000721783677,300
406595,9011114000300000,638,14010000729172508,,,1,6014010000695050765,363
406596,9011114000300000,637,14010000729172203,,,1,6014010000726425798,381
406597,9011114000300000,638,14010000729172244,,,1,6014010000726420773,353
406598,9011114000300000,637,14010000729656180,,,1,6014010000726938446,377
406599,9011114000300000,1647,14010000729656242,,,1,6014010000721783651,307
406600,9011114000300000,3952,14010000729656259,,,1,6014010000726425941,307
406601,9011114000300000,3953,14010000729656280,,,1,6014010000721783571,313
406602,9011114000300000,3953,14010000729656340,,,1,6014010000721783487,341
406603,9011114000300000,638,14010000729656412,,,1,6014010000689491195,355
406604,9011114000300000,3953,14010000729656366,,,1,6014010000726425987,343
406605,9011114000300000,645,14010000729656451,,,1,6014010000695050974,343
406606,9011114000300000,1647,14010000729656166,,,1,6014010000695050232,301
406607,9011114000300000,637,14010000729656203,,,1,6014010000726425896,375
406608,9011114000300000,645,14010000729656390,,,1,6014010000688830943,301
406609,9011114000300000,638,14010000729172303,,,1,6014010000721783869,359
406610,9011114000300000,638,14010000729172331,,,1,6014010000696855299,361
406611,9011114000300000,637,14010000729172377,,,1,6014010000695050530,371
406612,9011114000300000,3954,14010000729656226,,,1,6014010000695050712,301
406613,9011114000300000,3953,14010000729656313,,,1,6014010000726425878,317
406614,9011114000300000,638,14010000729656436,,,1,6014010000726420751,351
406615,9011114000300000,645,14010000729656478,,,1,6014010000721784027,313
406616,9011114000300000,810,14010100726445298,,,1,6014010000721783677,305
406617,9011114000300000,811,14010100725131913,,,1,6014010000690164554,320
406618,9011114000300000,637,14010000721785432,,,0,6014010000685460717,374
406619,9011114000300000,637,14010000721785443,,,0,6014010000685460717,382
406620,9011114000300000,638,14010000721785674,,,0,6014010000685460717,364
406621,9011114000300000,644,14010000721785382,,,0,6014010000721784201,318
406622,9011114000300000,638,14010000721785608,,,0,6014010000153580574,354
406623,9011114000300000,379,14010000721785416,,,0,6014010000690164874,342
406624,9011114000300000,637,14010000721785463,,,0,6014010000721784263,380
406625,9011114000300000,638,14010000721785624,,,0,6014010000685460806,352
406626,9011114000300000,637,14010000725132435,,,0,6014010000725131348,378
406627,9011114000300000,645,14010000725132593,,,0,6014010000725131428,314
406628,9011114000300000,414,14010000725132347,,,0,6014010000721784224,308
406629,9011114000300000,414,14010000725132390,,,0,6014010000721784150,302
406630,9011114000300000,637,14010000725132458,,,0,6014010000725131369,376
406631,9011114000300000,638,14010000725132509,,,0,6014010000725131399,360
406632,9011114000300000,638,14010000725132531,,,0,6014010000589125289,358
406633,9011114000300000,379,14010000725132619,,,0,6014010000721784455,340
406634,9011114000300000,644,14010000725132249,,,0,6014010000725131235,314
406635,9011114000300000,414,14010000725132367,,,0,6014010000721784177,306
406636,9011114000300000,637,14010000725132484,,,0,6014010000721784334,372
406637,9011114000300000,638,14010000725132568,,,0,6014010000685460806,362
406638,9011114000300000,644,14010000725132225,,,0,6014010000685460943,316
406639,9011114000300000,379,14010000725132327,,,0,6014010000685460943,304
406640,9011114000300000,379,14010000725132413,,,0,6014010000725131327,310
406641,9011114000300000,638,14010000725132549,,,0,6014010000690165092,356
406642,9011114000300000,414,14010000726426486,,,0,6014010000726426088,312
406643,9011114000300000,637,14010000726938597,,,0,6014010000726938472,396
406644,9011114000300000,677,14010000729656566,,,0,6014010000721784224,308
406645,9011114000300000,677,14010000729656545,,,0,6014010000721784177,306
406646,9011114000300000,677,14010000729656520,,,0,6014010000721784150,302
406647,9011114000300000,677,14010000729656601,,,0,6014010000726426088,312
