vehicle_id,trip_id,route_id,route_short_name,route_long_name,route_type
9031001001506930,14010000721980125,9011001017600000,176,,700.0
9031001002500177,14010100722679483,9011001001900000,19,Gröna linjen,401.0
9031001001500413,14010000721896221,9011001040100000,401,,700.0
9031001003003890,14010000722068222,9011001043400000,434,,700.0
9031001002520037,14010100722380620,9011001001300000,13,Röda linjen,401.0
9031001004505111,14010000721191728,9011001064200000,642,,700.0
9031001003004990,14010000722562592,9011001081800000,818C,,700.0
9031001003005584,14010000720460118,9011001070400000,704,,700.0
9031001007500664,14010000722486884,9011001008400000,84,,1000.0
9031001004505000,14010000720953203,9011001062300000-623V,623V,,700.0
9031001004500416,14010000720615949,9011001053700000,537,,700.0
9031001004500445,14010000720927940,9011001065900000,659,,700.0
9031001001007216,14010000724564757,9011001000400000,4,,700.0
9031001003006033,14010000719674680,9011001074500000,745,,700.0
9031001001007194,14010000724564522,9011001000200000,2,,700.0
9031001001506903,14010000721981931,9011001030900000,309,,700.0
9031001003005499,14010000720460575,9011001071400000,714,,700.0
9031001003005325,14010000726289182,9011001046500000,465,,700.0
9031001001004616,14010000717174396,9011001050800000,508,,700.0
9031001003003584,14010000688932896,9011001054100000,541,,700.0
9031001001004818,14010000717717988,9011001006500000,65,,700.0
9031001003003054,14010000688932299,9011001054100000,541,,700.0
9031001003004971,14010000722563783,9011001082800000,828,,700.0
9031001004505561,14010000721190876,9011001067700000,677,,700.0
9031001003003587,14010000670436136,9011001055800000,558,,700.0
9031001001500315,14010000721896894,9011001087300000,873,,700.0
9031001003003508,14010000702093134,9011001056700000,567,,700.0
9031001001004005,14010000717717597,9011001000100000,1,,700.0
9031001007037448,14010000719408122,9011001003000000,30,Tvärbanan,900.0
9031001001004689,14010000717174717,9011001015700000,157,,700.0
9031001003005356,14010000697308668,9011001046700000,467,,700.0
9031001004505566,14010000721189129,9011001063600000,636,,700.0
9031001003004969,14010000722561787,9011001085200000,852,,700.0
9031001003004964,14010000723733169,9011001084900000,849,,700.0
9031001003005069,14010000722562705,9011001080700000,807,,700.0
9031001003005488,14010000720458907,9011001070400000,704,,700.0
9031001001007225,14010000724564451,9011001000200000,2,,700.0
9031001001007204,14010000724564316,9011001000400000,4,,700.0
9031001003005490,14010000720459377,9011001016300000,163,,700.0
9031001006502658,,,,,
9031001001001556,14010000724564249,9011001000200000,2,,700.0
9031001001004675,14010000726871097,9011001015500000,155,,700.0
9031001001501755,14010000721896166,9011001087500000,875,,700.0
9031001001004683,14010000726909584,9011001051400000,514,,700.0
9031001001500434,14010000721897049,9011001087500000,875,,700.0
9031001003006196,14010000720458960,9011001070800000,708,,700.0
9031001003002745,14010000689193924,9011001016700000,167,,700.0
9031001003005055,14010000722563263,9011001083600000,836,,700.0
9031001001007219,14010000726002351,9011001000400000,4,,700.0
9031001001007201,14010000726002269,9011001000400000,4,,700.0
9031001003005045,14010000722561176,9011001083200000,832,,700.0
9031001002500037,14010100722680634,9011001001900000,19,Gröna linjen,401.0
9031001004500432,14010000720616428,9011001053900000,539,,700.0
9031001001506933,14010000721981509,9011001017600000,176,,700.0
9031001007000430,,,,,
9031001004505059,14010000726356101,9011001068400000,684,,700.0
9031001004500450,14010000720927868,9011001066000000,660,,700.0
9031001004505583,14010000721191204,9011001067600000,676,,700.0
9031001003005465,14010000720459032,9011001016500000,165,,700.0
9031001001007220,14010000717632141,9011001000300000,3,,700.0
