"Q133994161	P14545	""sat:pier:6w8v7"""
"Q134613611	P14545	""sat:pier:88p26"""
"Q134007589	P14545	""sat:pier:8a3zv"""
"Q134527143	P14545	""sat:pier:97dsz"""
"Q133884836	P14545	""sat:pier:9d4ts"""
"Q134442879	P14545	""sat:pier:ana8w"""
"Q134369914	P14545	""sat:pier:badnq"""
"Q134444768	P14545	""sat:pier:bg8n2"""
"Q134369594	P14545	""sat:pier:bks6e"""
"Q134310449	P14545	""sat:pier:c2zdb"""
"Q136687404	P14545	""sat:pier:cg6tm"""
"Q135406877	P14545	""sat:pier:cjh66"""
"Q133884785	P14545	""sat:pier:d9x33"""
"Q134367350	P14545	""sat:pier:dz2kk"""
"Q134614663	P14545	""sat:pier:exbtj"""
"Q134621955	P14545	""sat:pier:fb4m2"""
"Q133886292	P14545	""sat:pier:g9c6x"""
"Q134621751	P14545	""sat:pier:gj722"""
"Q133994206	P14545	""sat:pier:h3e32"""
"Q133993978	P14545	""sat:pier:h5e27"""
"Q134007558	P14545	""sat:pier:h5sec"""
"Q92755913	P14545	""sat:pier:hdd6b"""
"Q134626197	P14545	""sat:pier:hk4c2"""
"Q134007653	P14545	""sat:pier:jz4b2"""
"Q134614130	P14545	""sat:pier:k3ga2"""
"Q140355814	P14545	""sat:pier:kcqca"""
"Q134008052	P14545	""sat:pier:mb7mm"""
"Q134007206	P14545	""sat:pier:npv3h"""
"Q133867299	P14545	""sat:pier:ptqk8"""
"Q133884690	P14545	""sat:pier:r9h6s"""
"Q134539845	P14545	""sat:pier:r9t9s"""
"Q134007692	P14545	""sat:pier:rt7xw"""
"Q134527130	P14545	""sat:pier:syrra"""
"Q140355872	P14545	""sat:pier:tnjrd"""
"Q134008562	P14545	""sat:pier:vmgj9"""
"Q134621810	P14545	""sat:pier:w9mqf"""
"Q134000657	P14545	""sat:pier:wcghw"""
"Q134614578	P14545	""sat:pier:x224j"""
"Q133884712	P14545	""sat:pier:x9mp5"""
"Q134522797	P14545	""sat:pier:xqdpx"""
"Q140692899	P14545	""sat:pier:y2b5e"""
"Q134522835	P14545	""sat:pier:y7y66"""
"Q134521444	P14545	""sat:pier:yd6px"""
"Q133885677	P14545	""sat:pier:z8knr"""
"Q134621708	P14545	""sat:pier:zqjp7"""
"Q134297092	P14545	""sat:pier:zw4s7"""
"Q133830825	P14545	""sat:poi:32htq"""
"Q134006727	P14545	""sat:poi:3832n"""
"Q136337568	P14545	""sat:poi:6yz3t"""
"Q134580641	P14545	""sat:poi:756xr"""
"Q140482992	P14545	""sat:poi:7yskn"""
"Q133812569	P14545	""sat:poi:bwsb2"""
"Q107290890	P14545	""sat:poi:cbt7n"""
"Q134461524	P14545	""sat:poi:eb5j5"""
"Q18291743	P14545	""sat:poi:fgfa4"""
"Q32904803	P14545	""sat:poi:gfyya"""
"Q133812569	P14545	""sat:poi:gysy6"""
"Q121754355	P14545	""sat:poi:h78ed"""
"Q130338821	P14545	""sat:poi:hpy7b"""
"Q134527248	P14545	""sat:poi:m438y"""
"Q135336466	P14545	""sat:poi:wteat"""
"Q121715058	P14545	""sat:poi:y6t5d"""
"Q1546959	P14545	""sat:section:2fxg6"""
"Q133502246	P14545	""sat:section:2fxg6"""
"Q56804997	P14545	""sat:section:33r32"""
"Q133724234	P14545	""sat:section:33r32"""
"Q1759193	P14545	""sat:section:3hz5y"""
"Q133724236	P14545	""sat:section:3hz5y"""
"Q10561414	P14545	""sat:section:3zc33"""
"Q3105747	P14545	""sat:section:5cg25"""
"Q48890062	P14545	""sat:section:5cg25"""
"Q133724246	P14545	""sat:section:5cg25"""
"Q294787	P14545	""sat:section:6agsx"""
"Q1480015	P14545	""sat:section:6agsx"""
"Q133449160	P14545	""sat:section:6agsx"""
"Q3355818	P14545	""sat:section:72x3g"""
"Q133724249	P14545	""sat:section:72x3g"""
"Q5245979	P14545	""sat:section:7nggg"""
"Q133724247	P14545	""sat:section:7nggg"""
"Q2120552	P14545	""sat:section:b49zp"""
"Q133724252	P14545	""sat:section:b49zp"""
"Q2837232	P14545	""sat:section:cp9g9"""
"Q46946584	P14545	""sat:section:cp9g9"""
"Q133724255	P14545	""sat:section:cp9g9"""
"Q10726505	P14545	""sat:section:fhf88"""
"Q133374185	P14545	""sat:section:fhf88"""
"Q133724232	P14545	""sat:section:fhf88"""
"Q6976731	P14545	""sat:section:jzby6"""
"Q133724239	P14545	""sat:section:jzby6"""
"Q3772710	P14545	""sat:section:nhy68"""
"Q133374147	P14545	""sat:section:nhy68"""
"Q56780332	P14545	""sat:section:npbr9"""
"Q133724237	P14545	""sat:section:npbr9"""
"Q133554956	P14545	""sat:section:phb3z"""
"Q6976423	P14545	""sat:section:qwgxa"""
"Q133724250	P14545	""sat:section:qwgxa"""
"Q10605513	P14545	""sat:section:rp7pt"""
"Q133724230	P14545	""sat:section:rp7pt"""
"Q10658747	P14545	""sat:section:sqqy9"""
"Q133724231	P14545	""sat:section:sqqy9"""
