qid,item,label,description,lat,lon,osm_node,osm_way,osm_rel,osm_node_id,osm_way_id,osm_rel_id,osm_node_url,osm_way_url,osm_rel_url
Q135062583,http://www.wikidata.org/entity/Q135062583,Vandringsskylt SAT Ingmarsö,"Ingmarsö byväg, Stockholms skärgård",59.469736,18.75343,,6730659174,,,w6730659174,,,https://www.openstreetmap.org/way/6730659174,
Q135062808,http://www.wikidata.org/entity/Q135062808,Vandringsskylt SAT Ingmarsö,"Norra Ingmarsö brygga, Stockholms skärgård",59.475337,18.751305,,12758872849,,,w12758872849,,,https://www.openstreetmap.org/way/12758872849,
Q135063085,http://www.wikidata.org/entity/Q135063085,Vandringsskylt SAT Ingmarsö,"Djurgårdsvägen Ingmarsö, Stockholms skärgård",59.472969,18.755671,,12758854059,,,w12758854059,,,https://www.openstreetmap.org/way/12758854059,
Q135063320,http://www.wikidata.org/entity/Q135063320,Vandringsskylt SAT Ingmarsö,"Femsundvikens badplats, Stockholms skärgård",59.470347,18.769005,,12758913300,,,w12758913300,,,https://www.openstreetmap.org/way/12758913300,
Q135063491,http://www.wikidata.org/entity/Q135063491,Vandringsskylt SAT Ingmarsö,"vid roddbåten Båtluffarleden, Stockholms skärgård",59.481,18.798347,,12758929382,,,w12758929382,,,https://www.openstreetmap.org/way/12758929382,
Q135063516,http://www.wikidata.org/entity/Q135063516,Vandringsskylt SAT Finnhamn,"vid Finnhamns brygga, Stockholms skärgård",59.48273,18.826538,,12771834467,,,w12771834467,,,https://www.openstreetmap.org/way/12771834467,
Q135064407,http://www.wikidata.org/entity/Q135064407,Vandringsskylt SAT Finnhamn,vid Sjölängorna norra Finnhamn,59.481139,18.82214,,12837199685,,,w12837199685,,,https://www.openstreetmap.org/way/12837199685,
Q135064468,http://www.wikidata.org/entity/Q135064468,Vandringsskylt SAT Finnhamn,"Lilla Jolpan, Finnhamn",59.478415,18.824334,,12838600542,,,w12838600542,,,https://www.openstreetmap.org/way/12838600542,
Q135064544,http://www.wikidata.org/entity/Q135064544,Vandringsskylt SAT Lidö,Lidö brygga norra Stockholms skärgård,59.770257,19.079327,,12758859016,,,w12758859016,,,https://www.openstreetmap.org/way/12758859016,
Q135065022,http://www.wikidata.org/entity/Q135065022,Vandringsskylt SAT Lidö,skylt vid Lidö tältplats norra Stockholms skärgård,59.779742,19.092205,,12759055196,,,w12759055196,,,https://www.openstreetmap.org/way/12759055196,
Q135065340,http://www.wikidata.org/entity/Q135065340,Vandringsskylt SAT Arholma,"Arholma brygga, Stockholms skärgård",59.850957,19.109552,,12758914941,,,w12758914941,,,https://www.openstreetmap.org/way/12758914941,
Q135086439,http://www.wikidata.org/entity/Q135086439,Vandringsskylt SAT Nämdö,Östanvik vägkorsning,59.19664,18.73068,,12951930010,,,w12951930010,,,https://www.openstreetmap.org/way/12951930010,
Q135086883,http://www.wikidata.org/entity/Q135086883,Vandringsskylt SAT Nämdö,vägkorsning norra Nämdö,59.193812,18.716336,,12951960993,,,w12951960993,,,https://www.openstreetmap.org/way/12951960993,
Q135087121,http://www.wikidata.org/entity/Q135087121,Vandringsskylt SAT Ornö,Ornöboda,59.1120479,18.4836294,,12951972175,,,w12951972175,,,https://www.openstreetmap.org/way/12951972175,
Q135087297,http://www.wikidata.org/entity/Q135087297,Vandringsskylt SAT Ornö,Ornöboda vägkorsning,59.1063109,18.4703117,,12952012604,,,w12952012604,,,https://www.openstreetmap.org/way/12952012604,
Q135900081,http://www.wikidata.org/entity/Q135900081,Vandringsskylt SAT Arholma,"Granö brygga, Stockholms skärgård",59.836333,19.089118,,13077798237,,,w13077798237,,,https://www.openstreetmap.org/way/13077798237,
Q135900640,http://www.wikidata.org/entity/Q135900640,Vandringsskylt SAT Arholma,"Arholma, Stockholms skärgård",59.841396,19.111217,,13077967040,,,w13077967040,,,https://www.openstreetmap.org/way/13077967040,
Q135901115,http://www.wikidata.org/entity/Q135901115,Vandringsskylt SAT Arholma,östra Arholma,59.845361,19.120942,,13078172838,,,w13078172838,,,https://www.openstreetmap.org/way/13078172838,
Q135916989,http://www.wikidata.org/entity/Q135916989,Vandringsskylt SAT Möja,"på Möja vid Les Poissonniers, Stockholms skärgård",59.407,18.88498,,12771834467,,,w12771834467,,,https://www.openstreetmap.org/way/12771834467,
Q135917088,http://www.wikidata.org/entity/Q135917088,Vandringsskylt SAT Finnhamn,vid roddbåten,59.482042,18.8045,,13085756547,,,w13085756547,,,https://www.openstreetmap.org/way/13085756547,
Q135973655,http://www.wikidata.org/entity/Q135973655,Vandringsskylt SAT Grinda,vid stugbyn på Grinda i Stockholms skärgård,59.407391,18.563413,,13097861489,,,w13097861489,,,https://www.openstreetmap.org/way/13097861489,
Q135973728,http://www.wikidata.org/entity/Q135973728,Vandringsskylt SAT Grinda,vid gästhamnen på Grinda i Stockholms skärgård,,,,12758924280,,,w12758924280,,,https://www.openstreetmap.org/way/12758924280,
Q136214806,http://www.wikidata.org/entity/Q136214806,Vandringsskylt SAT Arholma,Arholma Nord,59.8579176,19.1202708,,13135709296,,,w13135709296,,,https://www.openstreetmap.org/way/13135709296,
Q136214817,http://www.wikidata.org/entity/Q136214817,Vandringsskylt SAT Arholma,vägkorsning,59.8453231,19.1111965,,13135735705,,,w13135735705,,,https://www.openstreetmap.org/way/13135735705,
Q136214840,http://www.wikidata.org/entity/Q136214840,Vandringsskylt SAT Arholma,vid affären,59.85116665,19.10835994,,13135751919,,,w13135751919,,,https://www.openstreetmap.org/way/13135751919,
Q136341620,http://www.wikidata.org/entity/Q136341620,Vandringsskylt SAT Finnhamn,"vid Ragnars kiosk, Stockholms skärgård",,,,13158767841,,,w13158767841,,,https://www.openstreetmap.org/way/13158767841,
