sat_id,qid_conc,qid_wd
sat:poi:2y3sb,Q134593750,Q134593750
sat:poi:2yh23,Q135152816,Q135152816
sat:poi:2ypnw,Q134306927,Q134306927
sat:poi:32htq,,Q133830825
sat:poi:35tf4,Q133838591,Q133838591
sat:poi:379e4,Q136337707,Q136337707
sat:poi:3832n,,Q134006727
sat:poi:3axkg,Q139857266,Q139857266
sat:poi:3esyv,Q32247988,Q32247988
sat:poi:3pdqj,Q134606948,Q134606948
sat:poi:3q6gq,Q134366886,Q134366886
sat:poi:3qdet,Q133864087,Q133864087
sat:poi:3qh4s,Q133827327,Q133827327
sat:poi:3sbvd,Q134721278,Q134721278
sat:poi:3t5da,Q121887829,Q121887829
sat:poi:3xx4m,Q136342609,Q136342609
sat:poi:3y77m,Q135972925,Q135972925
sat:poi:3z3vn,Q134721309,Q134721309
sat:poi:459zw,Q135969918,Q135969918
sat:poi:46txv,Q134083897,Q134083897
sat:poi:495wn,Q10711621,Q10711621
sat:poi:4edkj,Q135399942,Q135399942
sat:poi:4fge7,Q134571436,Q134571436
sat:poi:4je76,Q133864018,Q133864018
sat:poi:4ncam,Q135217025,Q135217025
sat:poi:4z558,Q134987122,
sat:poi:58ezq,Q134705878,Q134705878
sat:poi:59xam,Q140329727,Q140329727
sat:poi:5a9dh,Q134523792,Q134523792
sat:poi:5c62v,Q135117359,Q135117359
sat:poi:5che8,Q134526525,Q134526525
sat:poi:5jmyn,Q133864132,Q133864132
sat:poi:5n7pv,Q133880548,Q133880548
sat:poi:5pwx4,Q134519179,Q134519179
sat:poi:5t3yj,Q135890833,Q135890833
sat:poi:5tjm9,Q135152644,Q135152644
sat:poi:5wbha,Q134465290,Q134465290
sat:poi:635h5,Q133840505,Q133840505
sat:poi:65far,Q134985660,
sat:poi:67dh7,Q134006267,Q134006267
sat:poi:688nt,Q134523870,Q134523870
sat:poi:6ak54,Q140054528,Q140054528
sat:poi:6d84d,Q130338597,Q130338597
sat:poi:6e8px,Q134290334,Q134290334
sat:poi:6fn35,Q133884437,Q133884437
sat:poi:6p6hb,Q135107753,
sat:poi:6p8zd,Q133824830,Q129324487
sat:poi:6qpzh,Q134311548,Q134311548
sat:poi:6sd6h,Q134587974,Q134587974
sat:poi:6w5jw,Q136437056,Q136437056
sat:poi:6yz3t,,Q136337568
sat:poi:756xr,,Q134580641
