qid,label,osm_type,osm_id,osm_url,url,wikidata_tag,name
Q121409712,SAT grill Storsand,node,12748117664.0,https://www.openstreetmap.org/node/12748117664,https://www.openstreetmap.org/node/12748117664,Q134580000,
Q133841438,Utö camping grillplats 3,node,12740540028.0,https://www.openstreetmap.org/node/12740540028,https://www.openstreetmap.org/node/12740540028,Q133841778,
Q135972111,SAT grillplats grinda,node,13096084423.0,https://www.openstreetmap.org/node/13096084423,https://www.openstreetmap.org/node/13096084423,Q135972088,
Q136036748,Grillplats Grinda stugbyn,node,13096084423.0,https://www.openstreetmap.org/node/13096084423,https://www.openstreetmap.org/node/13096084423,Q135972088,
Q136298469,Grinda grillplats Klubbudden 2,node,13144859129.0,https://www.openstreetmap.org/node/13144859129,https://www.openstreetmap.org/node/13144859129,Q121714588,
