item,itemLabel,coord,img,website,lat,lon
http://www.wikidata.org/entity/Q133841438,Utö camping grillplats 3,Point(18.318591 58.966737),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2037.jpg,,58.966737,18.318591
http://www.wikidata.org/entity/Q133841778,Utö camping grillplats,Point(18.318591 58.966737),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2040.jpg,https://grillplatser.nu/Grillplats/Visa/Uto-taltplats,58.966737,18.318591
http://www.wikidata.org/entity/Q133848174,Vindskydd Ornö museum,Point(18.430452 59.050795),http://commons.wikimedia.org/wiki/Special:FilePath/Vindskydd%2C%20grillplats%20Kyrkviken%20Orn%C3%B6%20museum.jpg,https://grillplatser.nu/Grillplats/Visa/Orno-museum,59.050795,18.430452
http://www.wikidata.org/entity/Q133848185,"grillplats, Ornö museum",Point(18.4305319 59.050773),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20Kyrkviken%20Orn%C3%B6%20museum.jpg,https://grillplatser.nu/Grillplats/Visa/Vindskydd-Talludden,59.050773,18.4305319
http://www.wikidata.org/entity/Q133848857,"Västanviks grillplats, Ornö",Point(18.419786 59.059787),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Orn%C3%B6%202025%20april%20grillplats%20V%C3%A4stanvik.jpg,,59.059787,18.419786
http://www.wikidata.org/entity/Q133863316,Furusund grillplats Fotbollsplan,Point(18.905994 59.657636),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Furusund%20grill%20fotbollsplanen.jpg,,59.657636,18.905994
http://www.wikidata.org/entity/Q133864540,"Harviken, grillplats",Point(18.169296 58.929023),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20R%C3%A5n%C3%B6%202025%20april%2002.jpg,,58.929023,18.169296
http://www.wikidata.org/entity/Q133864622,Knicksand enkel grillplats,Point(18.165775 58.917568),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20R%C3%A5n%C3%B6%20vandring%202025%20april%2003.jpg,,58.917568,18.165775
http://www.wikidata.org/entity/Q121352030,"Grillplats, Storsand Ålö",Point(18.21923 58.90943),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20%C3%85l%C3%B6%20vandring%202025%20april%2053%20grillplats%20Storsand.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alo-rano.html,58.90943,18.21923
http://www.wikidata.org/entity/Q121361352,Grillplats Grinda södra bryggan,Point(18.55504 59.40767),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.40767,18.55504
http://www.wikidata.org/entity/Q121409629,Grillplats Ålö Storsand 2,Point(18.22015 58.90954),,,58.90954,18.22015
http://www.wikidata.org/entity/Q121409637,Grillplats Ålö storsand 3,Point(18.22216 58.90926),,,58.90926,18.22216
http://www.wikidata.org/entity/Q121409712,SAT grill Storsand,Point(18.1334129 58.876693),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20grill%20Storsand%20%282%29.jpg,https://grillplatser.nu/Grillplats/Visa/SAT-grill-Storsand,58.876693,18.1334129
http://www.wikidata.org/entity/Q121412621,Grillplats Storsand,Point(18.135939 58.877793),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20norr%20om%20Storsand%20grillplats.jpg,https://grillplatser.nu/Grillplats/Visa/Storasand,58.877793,18.135939
http://www.wikidata.org/entity/Q121433209,"Grillplats vid badstrand, Grinda",Point(18.557012 59.412276),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda%20bathwater.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.412276,18.557012
http://www.wikidata.org/entity/Q121433242,Grillplats Grinda tältplats syd västra 2,Point(18.557522 59.417123),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%2020250915%20n%2023.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.417123,18.557522
http://www.wikidata.org/entity/Q121433258,Östra grillplatsen vid tältplatsen 2,Point(18.559763 59.417385),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda%20tent%20area%202.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.417385,18.559763
http://www.wikidata.org/entity/Q121433272,Östra grillplatsen vid tältplatsen 1,Point(18.561723 59.417383),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda%20tent%20area%201.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.417383,18.561723
http://www.wikidata.org/entity/Q121714588,Grinda Klubbudden grillplats,Point(18.574888 59.406358),http://commons.wikimedia.org/wiki/Special:FilePath/Grinda%2C%20Klubbudden%20Barbecue%20area.jpg,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,59.406358,18.574888
http://www.wikidata.org/entity/Q121754355,"Kålgårdsöns naturreservat, grillplats",Point(18.79523 59.47928),http://commons.wikimedia.org/wiki/Special:FilePath/Q121754355.jpg,,59.47928,18.79523
http://www.wikidata.org/entity/Q130338597,"Norra sand, Utö, grillplats",Point(18.33929 58.974527),http://commons.wikimedia.org/wiki/Special:FilePath/Norra%20sand%2C%20Ut%C3%B6%2C%20grillplats%2002.jpg,,58.974527,18.33929
http://www.wikidata.org/entity/Q130338761,"Norra sand, Utö, grillplats 2",Point(18.338636 58.974511),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%20vandring%20202508006%2003.jpg,,58.974511,18.338636
http://www.wikidata.org/entity/Q133453469,Grillplats Arholma Nord,Point(19.122244 59.861189),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Arholma%2020250813%20vandringen%2001.jpg,https://grillplatser.nu/Grillplats/Visa/Arholma-Nord,59.861189,19.122244
