TYP,UNDERTYP,SKYDDSTYP_KOD,count
Parkering,Parkering,"N2000-SCI, NVO",2
Fågeltorn,Fågeltorn,"NR, NR",2
Dass,Dass,"N2000-SCI, N2000-SPA, NR",2
Servicebyggnad,Servicebyggnad,"N2000-SPA/SCI, NP",2
Soptunna,Soptunna,"N2000-SCI, NR, NVO",2
Övernattningsstuga,Övernattningsstuga,"N2000-SCI, NR",2
Soptunna,Soptunna,"N2000-SPA/SCI, NR",2
Bastu,Bastu,"N2000-SCI, NR",2
Rastplats,Bänk ,"N2000-SPA, NR",2
Grind,Grind,"OBO, OBO",2
Dass,Dass,"NP, NR",2
Fågeltorn,Fågeltorn,"N2000-SPA, NR",2
Rastplats,Bord,"N2000-SPA/SCI, NVO",2
Rastplats,Bord,"DVO, N2000-SPA/SCI, NR",2
Gömsle,Gömsle,DVO,2
Vedförvaring/vedbod,Vedförvaring/vedbod,"N2000-SPA, NR",2
Ankringsplats,Ankringsplats,"N2000-SPA/SCI, NR",2
Ramp,Ramp,"N2000-SPA/SCI, NR",2
Dass,Dass,"N2000-SPA, NR",2
Ramp,Ramp,"N2000-SPA/SCI, NP",2
Dass,Dass,"NR, NR",2
Badplats,Badplats,"DVO, NR",2
Rastplats,Bänkbord,OBO,2
Pir,Pir,NR,2
Ramp,Ramp,<NULL>,2
Vindskydd,Vindskydd,"NR, NR, NR",2
Rastplats,Bänk ,"NR, NR",2
Rastplats,Bänkbord,<NULL>,2
Eldstad,Eldstad,"N2000-SCI, NVO",2
Hjälptelefon,Hjälptelefon,<NULL>,2
Vindskydd,Vindskydd,DVO,2
Eldstad,Eldstad,"DVO, N2000-SCI, NR",2
Eldstad,Eldstad,"NR, NR",2
Rastplats,Bänkbord,NM,2
Bussparkering,Bussparkering,"N2000-SPA/SCI, NP",2
Pulkabacke,Pulkabacke,NR,2
Dricksvatten,Brunn,"N2000-SPA/SCI, NR",2
Ramp,Ramp,"N2000-SCI, NVO",1
Parkering,Parkering,"NR, NR, NR",1
Parkering,Parkering,OBO,1
Parkering för rörelsehindrade,Parkering för rörelsehindrade,"DVO, N2000-SPA/SCI, NR",1
Parkering för rörelsehindrade,Parkering för rörelsehindrade,"N2000-SCI, N2000-SPA, NR",1
Parkering för rörelsehindrade,Parkering för rörelsehindrade,NVO,1
Ramp,Ramp,"N2000-SCI, NR",1
Rastplats,Bord,"N2000-SCI, N2000-SPA, NR",1
