OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
33776045,30486426,Bänkbord med ryggstöd,Rastplats,Bänkbord,,0,<= 20 meter,NR,Käldänge (2000124),2000124,,,57.3147898,18.6062363,https://www.openstreetmap.org/?mlat=57.3147898&mlon=18.6062363#map=18/57.3147898/18.6062363,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.3147898,18.6062363););out center;"
33783475,30486416,Bänkbord emd ryggstöd,Rastplats,Bänkbord,,0,<= 20 meter,NR,Krakvät (2000429),2000429,,,57.1559463,18.183787,https://www.openstreetmap.org/?mlat=57.1559463&mlon=18.183787#map=18/57.1559463/18.183787,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.1559463,18.183787););out center;"
33776739,30486395,,Rastplats,Bänk ,,0,>20-50 meter,NR,Eldgarnsö (2000154),2000154,,,59.430514,17.6693224,https://www.openstreetmap.org/?mlat=59.430514&mlon=17.6693224#map=18/59.430514/17.6693224,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.430514,17.6693224););out center;"
33787914,30486381,,Rastplats,Bänk ,,0,>20-50 meter,NR,Ådö-Lagnö (2001154),2001154,,,59.464293,17.587872,https://www.openstreetmap.org/?mlat=59.464293&mlon=17.587872#map=18/59.464293/17.587872,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.464293,17.587872););out center;"
33790680,30486327,Trädäck med grill och två bänkbord,Eldstad,Eldstad,,0,<= 20 meter,NR,Högklint (2000132),2000132,,,57.5994749,18.2009525,https://www.openstreetmap.org/?mlat=57.5994749&mlon=18.2009525#map=18/57.5994749/18.2009525,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.5994749,18.2009525););out center;"
33784608,30486207,,Vindskydd,Vindskydd,,0,<= 20 meter,NR,Stockholmsgatorna (2000484),2000484,,,63.8939882,17.8370487,https://www.openstreetmap.org/?mlat=63.8939882&mlon=17.8370487#map=18/63.8939882/17.8370487,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.8939882,17.8370487););out center;"
33783835,30486171,,Rastplats,Bänkbord,,0,>50-100 meter,NR,Väsby hage (2000155),2000155,,,59.3997191,17.532278,https://www.openstreetmap.org/?mlat=59.3997191&mlon=17.532278#map=18/59.3997191/17.532278,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.3997191,17.532278););out center;"
33783834,30486168,,Rastplats,Bänkbord,,0,>50-100 meter,NR,Eldgarnsö (2000154),2000154,,,59.4297377,17.6549352,https://www.openstreetmap.org/?mlat=59.4297377&mlon=17.6549352#map=18/59.4297377/17.6549352,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.4297377,17.6549352););out center;"
33783833,30486158,,Rastplats,Bänkbord,,0,>50-100 meter,NR,Ådö-Lagnö (2001154),2001154,,,59.4553242,17.5861251,https://www.openstreetmap.org/?mlat=59.4553242&mlon=17.5861251#map=18/59.4553242/17.5861251,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.4553242,17.5861251););out center;"
33783403,30486155,,Rastplats,Bänkbord,,0,>20-50 meter,NR,Ådö-Lagnö (2001154),2001154,,,59.46429,17.5876996,https://www.openstreetmap.org/?mlat=59.46429&mlon=17.5876996#map=18/59.46429/17.5876996,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.46429,17.5876996););out center;"
