OBJECTID,GEOMETRIKVALITET,LED_ID,LEDNAMN,BESKRIVNING,LEDMARKERING,LEDTYP,LEDKATEGORI,STATLIGLED,STATLIGLED_ID,SKYDDATOMRADE,SKYDDATOMRADE_ID,LEDLANGD,SHAPE.LEN,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
12346690,>200 meter,30607392,,,,Vandringsled,Barmarksled,,,Vindelfjällen (2001842),2001842,17821,17821.0990441296,65.6210649,16.2442968,https://www.openstreetmap.org/?mlat=65.6210649&mlon=16.2442968#map=18/65.6210649/16.2442968,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,65.6210649,16.2442968););out center;"
12344881,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,14.0582403920263,59.2333706,18.7198339,https://www.openstreetmap.org/?mlat=59.2333706&mlon=18.7198339#map=18/59.2333706/18.7198339,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333706,18.7198339););out center;"
12344882,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.34495933818674,59.2335164,18.7203995,https://www.openstreetmap.org/?mlat=59.2335164&mlon=18.7203995#map=18/59.2335164/18.7203995,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2335164,18.7203995););out center;"
12344880,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,5.78377410064389,59.2334977,18.720338,https://www.openstreetmap.org/?mlat=59.2334977&mlon=18.720338#map=18/59.2334977/18.720338,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334977,18.720338););out center;"
12344879,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.47236294421623,59.2337962,18.720462,https://www.openstreetmap.org/?mlat=59.2337962&mlon=18.720462#map=18/59.2337962/18.720462,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337962,18.720462););out center;"
12344878,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,1.51362631471277,59.2337228,18.7205146,https://www.openstreetmap.org/?mlat=59.2337228&mlon=18.7205146#map=18/59.2337228/18.7205146,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337228,18.7205146););out center;"
12344877,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,25.2449112429094,59.2333655,18.7201846,https://www.openstreetmap.org/?mlat=59.2333655&mlon=18.7201846#map=18/59.2333655/18.7201846,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333655,18.7201846););out center;"
12344876,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,6.12051143778034,59.2333699,18.7198274,https://www.openstreetmap.org/?mlat=59.2333699&mlon=18.7198274#map=18/59.2333699/18.7198274,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333699,18.7198274););out center;"
12344875,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.99737102775274,59.2335055,18.7204744,https://www.openstreetmap.org/?mlat=59.2335055&mlon=18.7204744#map=18/59.2335055/18.7204744,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2335055,18.7204744););out center;"
12344874,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,0.37930699967177,59.2333699,18.7198274,https://www.openstreetmap.org/?mlat=59.2333699&mlon=18.7198274#map=18/59.2333699/18.7198274,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333699,18.7198274););out center;"
