OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
33779267,30590554,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33779267, ""ANORDNING_ID"": ""30590554"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.521954219555496,63.052559520918344,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0525595&mlon=16.5219542#map=18/63.0525595/16.5219542,coordinate_fallback,,,anordningar
33770411,30590552,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33770411, ""ANORDNING_ID"": ""30590552"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.521992364962603,63.05213884335143,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0521388&mlon=16.5219924#map=18/63.0521388/16.5219924,coordinate_fallback,,,anordningar
33785752,30590549,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785752, ""ANORDNING_ID"": ""30590549"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.521938416210325,63.052132892376896,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0521329&mlon=16.5219384#map=18/63.0521329/16.5219384,coordinate_fallback,,,anordningar
33781295,30590547,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33781295, ""ANORDNING_ID"": ""30590547"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.523448638705112,63.050488030711406,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0504880&mlon=16.5234486#map=18/63.0504880/16.5234486,coordinate_fallback,,,anordningar
33785751,30590545,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785751, ""ANORDNING_ID"": ""30590545"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.523535839072206,63.05043482157856,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0504348&mlon=16.5235358#map=18/63.0504348/16.5235358,coordinate_fallback,,,anordningar
33781294,30590543,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33781294, ""ANORDNING_ID"": ""30590543"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.523535839072206,63.05043482157856,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0504348&mlon=16.5235358#map=18/63.0504348/16.5235358,coordinate_fallback,,,anordningar
33783136,30590541,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33783136, ""ANORDNING_ID"": ""30590541"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.524067940525768,63.0493365670133,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0493366&mlon=16.5240679#map=18/63.0493366/16.5240679,coordinate_fallback,,,anordningar
33781293,30590539,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33781293, ""ANORDNING_ID"": ""30590539"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.52510415548443,63.049002495337405,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0490025&mlon=16.5251042#map=18/63.0490025/16.5251042,coordinate_fallback,,,anordningar
33785848,30590538,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785848, ""ANORDNING_ID"": ""30590538"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.526538686319746,63.04775884518271,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0477588&mlon=16.5265387#map=18/63.0477588/16.5265387,coordinate_fallback,,,anordningar
33785750,30590532,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785750, ""ANORDNING_ID"": ""30590532"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.526763204220156,63.047497618066465,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0474976&mlon=16.5267632#map=18/63.0474976/16.5267632,coordinate_fallback,,,anordningar
