NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
2012798,Risögrundet,Nej,"{""NVRID"": ""2012798"", ""NAMN"": ""Risögrundet"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",22.364271786623256,65.5959643440072,Polygon,716.0380420663528,18579.392439724114,https://www.openstreetmap.org/?mlat=65.5959643&mlon=22.3642718#map=18/65.5959643/22.3642718,coordinate_fallback,,,publiceringsstatus
2025716,Sunneskär,Nej,"{""NVRID"": ""2025716"", ""NAMN"": ""Sunneskär"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",11.24627797479867,58.327635167513705,Polygon,1132.5851447788064,90440.64667196249,https://www.openstreetmap.org/?mlat=58.3276352&mlon=11.2462780#map=18/58.3276352/11.2462780,coordinate_fallback,,,publiceringsstatus
2003666,"Västra och Östra Törneskär, Tjärekläppen, Lilla Anna",Nej,"{""NVRID"": ""2003666"", ""NAMN"": ""Västra och Östra Törneskär, Tjärekläppen, Lilla Anna"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",15.676852101136909,56.1328371640044,MultiPolygon,2819.034144251514,148204.9881874977,https://www.openstreetmap.org/?mlat=56.1328372&mlon=15.6768521#map=18/56.1328372/15.6768521,coordinate_fallback,,,publiceringsstatus
2002601,Gåsholmen,Nej,"{""NVRID"": ""2002601"", ""NAMN"": ""Gåsholmen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",17.44997657126812,60.1134648214371,Polygon,2057.2529859113442,247379.8416431868,https://www.openstreetmap.org/?mlat=60.1134648&mlon=17.4499766#map=18/60.1134648/17.4499766,coordinate_fallback,,,publiceringsstatus
2004249,2004014(W-id)Tall,Ja,"{""NVRID"": ""2004249"", ""NAMN"": ""2004014(W-id)Tall"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",16.18015277864499,60.16530920557014,Polygon,3.1403443233432604,0.7841428403636067,https://www.openstreetmap.org/?mlat=60.1653092&mlon=16.1801528#map=18/60.1653092/16.1801528,coordinate_fallback,,,publiceringsstatus
2000658,Stornäset,Ja,"{""NVRID"": ""2000658"", ""NAMN"": ""Stornäset"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",17.492403819373813,62.4528915672476,Polygon,8863.01257709744,1487382.3512797444,https://www.openstreetmap.org/?mlat=62.4528916&mlon=17.4924038#map=18/62.4528916/17.4924038,coordinate_fallback,,,publiceringsstatus
2014040,Bredselet,Ja,"{""NVRID"": ""2014040"", ""NAMN"": ""Bredselet"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",18.69534218963593,64.34935416838734,Polygon,13148.971334957803,2988094.331397943,https://www.openstreetmap.org/?mlat=64.3493542&mlon=18.6953422#map=18/64.3493542/18.6953422,coordinate_fallback,,,publiceringsstatus
2025491,Borgmästarna i Gåsö-skärgården,Nej,"{""NVRID"": ""2025491"", ""NAMN"": ""Borgmästarna i Gåsö-skärgården"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",11.352507870157321,58.23724606960692,Polygon,794.1227533770683,49197.02204948683,https://www.openstreetmap.org/?mlat=58.2372461&mlon=11.3525079#map=18/58.2372461/11.3525079,coordinate_fallback,,,publiceringsstatus
2003389,"Näs Västra 2:2, 2:3",Nej,"{""NVRID"": ""2003389"", ""NAMN"": ""Näs Västra 2:2, 2:3"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",14.893708871123414,57.61071242070952,MultiPolygon,442.5315529757673,5870.460729052471,https://www.openstreetmap.org/?mlat=57.6107124&mlon=14.8937089#map=18/57.6107124/14.8937089,coordinate_fallback,,,publiceringsstatus
2002764,Noret,Ja,"{""NVRID"": ""2002764"", ""NAMN"": ""Noret"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",17.408215719630117,58.89954228643879,Polygon,2794.766402295023,275662.73539412493,https://www.openstreetmap.org/?mlat=58.8995423&mlon=17.4082157#map=18/58.8995423/17.4082157,coordinate_fallback,,,publiceringsstatus
2041142,Båven 12,Ja,"{""NVRID"": ""2041142"", ""NAMN"": ""Båven 12"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",16.849404539158424,59.0696395546629,Polygon,844.8557425596352,54767.85510212845,https://www.openstreetmap.org/?mlat=59.0696396&mlon=16.8494045#map=18/59.0696396/16.8494045,coordinate_fallback,,,publiceringsstatus
2021347,Storbergets naturskog,Nej,"{""NVRID"": ""2021347"", ""NAMN"": ""Storbergets naturskog"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",18.171745585034504,63.95267464859273,Polygon,6288.910449410265,1720053.6444260373,https://www.openstreetmap.org/?mlat=63.9526746&mlon=18.1717456#map=18/63.9526746/18.1717456,coordinate_fallback,,,publiceringsstatus
2000848,Haraliden,Nej,"{""NVRID"": ""2000848"", ""NAMN"": ""Haraliden"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",20.12357764320201,65.43263010369799,Polygon,11409.451228496002,3361181.3972158884,https://www.openstreetmap.org/?mlat=65.4326301&mlon=20.1235776#map=18/65.4326301/20.1235776,coordinate_fallback,,,publiceringsstatus
2002387,Prästeboda,Ja,"{""NVRID"": ""2002387"", ""NAMN"": ""Prästeboda"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.060935098822817,56.82946117354207,Polygon,3840.610689513676,784549.3401199484,https://www.openstreetmap.org/?mlat=56.8294612&mlon=14.0609351#map=18/56.8294612/14.0609351,coordinate_fallback,,,publiceringsstatus
