NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
2041381,Kråkholmen,Nej,59.3660786,11.9270612,https://www.openstreetmap.org/?mlat=59.3660786&mlon=11.9270612#map=18/59.3660786/11.9270612,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.3660786,11.9270612););out center;"
2000141,Hälsingholmarna,Nej,59.4609742,18.8473505,https://www.openstreetmap.org/?mlat=59.4609742&mlon=18.8473505#map=18/59.4609742/18.8473505,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.4609742,18.8473505););out center;"
2041197,Båven 48,Ja,58.9837767,17.014279,https://www.openstreetmap.org/?mlat=58.9837767&mlon=17.014279#map=18/58.9837767/17.014279,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.9837767,17.014279););out center;"
2062141,Dábmukjávrre,Nej,66.5463332,20.5852683,https://www.openstreetmap.org/?mlat=66.5463332&mlon=20.5852683#map=18/66.5463332/20.5852683,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,66.5463332,20.5852683););out center;"
2022029,Bjursås Prästskog,Nej,60.7344352,15.462386,https://www.openstreetmap.org/?mlat=60.7344352&mlon=15.462386#map=18/60.7344352/15.462386,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.7344352,15.462386););out center;"
2000727,Trättestad,Nej,58.6354786,11.4030437,https://www.openstreetmap.org/?mlat=58.6354786&mlon=11.4030437#map=18/58.6354786/11.4030437,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6354786,11.4030437););out center;"
2002682,Lidahult,Ja,56.67707,15.6165263,https://www.openstreetmap.org/?mlat=56.67707&mlon=15.6165263#map=18/56.67707/15.6165263,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.67707,15.6165263););out center;"
2053002,Björkvallsbrännan,Ja,61.9982513,15.3713899,https://www.openstreetmap.org/?mlat=61.9982513&mlon=15.3713899#map=18/61.9982513/15.3713899,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.9982513,15.3713899););out center;"
2001973,Åkraberg,Ja,57.2597063,12.2307325,https://www.openstreetmap.org/?mlat=57.2597063&mlon=12.2307325#map=18/57.2597063/12.2307325,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.2597063,12.2307325););out center;"
2044378,Reito,Ja,60.3636936,12.7127413,https://www.openstreetmap.org/?mlat=60.3636936&mlon=12.7127413#map=18/60.3636936/12.7127413,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.3636936,12.7127413););out center;"
