tags,id,osm_type,water_sites
"{'amenity': 'drinking_water', 'fixme': 'https://www.openstreetmap.org/note/4874294'}",822563176,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-23', 'comment': 'pumpen tillhör campingen men gissar man kan ta vattena', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/3f/SAT_Grinda_camping_vattenpump.jpg', 'image:license': 'CC-0', 'wikidata': 'Q134607783'}",863394662,node,1
"{'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-02', 'covered': 'no', 'description': 'Påslaget 2025-08-02', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/b/b9/SAT_R%C3%A5n%C3%B6_vandring_2025_04_09.jpg', 'image:license': 'CC-0', 'indoor': 'no', 'lit': 'no', 'seasonal': 'summer', 'wikidata': 'Q134607564'}",1392309442,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-10', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/SAT_Finnhamn_camp_site_water_02.jpg/1536px-SAT_Finnhamn_camp_site_water_02.jpg', 'image:license': 'CC-0', 'lit': 'no', 'wheelchair': 'no'}",1401738704,node,1
{'amenity': 'drinking_water'},1414776609,node,1
"{'amenity': 'drinking_water', 'wikidata': 'Q135443569'}",1822980813,node,1
{'amenity': 'drinking_water'},1848869435,node,1
{'amenity': 'drinking_water'},2908785488,node,1
"{'amenity': 'drinking_water', 'seasonal': 'yes'}",2943477510,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-06', 'covered': 'no', 'description': 'Dricksvattenpump på Stora Sand', 'drinking_water:seasonal': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fc/SAT_%C3%85l%C3%B6_vandring_2025_april_55_-_vatten_vid_Storsand.jpg', 'image:license': 'CC0 1.0', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'name': 'Ålö Storsand dricksvattenpump', 'operator': 'Skärgårdsstiftelsen', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q134605030', 'wikimedia_commons': 'Category:Ålö Storsand drinking water'}",3431736753,node,1
"{'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-07-31', 'covered': 'no', 'description': 'sitter skylt ”pga Vattenbrist är vattnet missfärgat. Går bra att diska och tvätta sig. Drick ej”', 'drinking_water': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/2/22/SATN%C3%A5ttar%C3%B6_2025_april_%28222%29_vattenkran.jpg', 'indoor': 'no', 'lit': 'no', 'operator': 'Skärgårdsstiftelsen', 'wikidata': 'Q134987122', 'wikimedia_commons': 'Category:Nåttarö_hostel_drinking_water'}",4879006116,node,1
"{'amenity': 'drinking_water', 'fee': 'no', 'wheelchair': 'no', 'wikidata': 'Q135230746'}",4936508701,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'seasonal': 'summer', 'wikidata': 'Q135458780'}",4936509760,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-26', 'comment': 'Vattnet ej kontrollerat enligt Livsmedelsverkets föreskrifter för dricksvatten', 'drinking_water': 'unknown', 'image': 'https://upload.wikimedia.org/wikipedia/commons/e/eb/SAT_N%C3%A4md%C3%B6_b_12.jpg', 'image:license': 'CC-0', 'man_made': 'water_well', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q134726995', 'wikimedia_commons': 'Category:Nämdö_camping_drinking_water'}",4958553279,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'fixme': 'https://www.openstreetmap.org/note/4704932', 'wheelchair': 'no'}",5013691335,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-18', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/SAL_Finnhamn_stugbyn_vattenpump_01.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_01.jpg', 'man_made': 'water_well', 'pump': 'manual', 'wikidata': 'Q134704553'}",5630510921,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-04', 'description': 'fungerar 20250804 egen test', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/0/09/SAT_%C3%85l%C3%B6_vandring_2025_april_05_vattenpump.jpg', 'image:license': 'CC-0', 'man_made': 'water_well', 'wheelchair': 'no', 'wikidata': 'Q134985579'}",5728811330,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-13', 'covered': 'no', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Arholma_SAT_20250813_18_dricksvattenpump.jpg/1536px-Arholma_SAT_20250813_18_dricksvattenpump.jpg', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'note': 'Vattnet verkar ha mycket järn och ej testat', 'note:en': 'The water seems to have a lot of iron and has not been tested', 'operator': 'Skärgårdsstiftelsen', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q135267999', 'wikimedia_commons': 'Category:Arholma_camping_dricksvatten'}",5745003240,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-18', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/SAL_Finnhamn_stugbyn_vattenpump_2.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_2.jpg', 'man_made': 'water_well', 'pump': 'manual'}",6535493386,node,1
