tags,id,osm_type,water_sites
"{'amenity': 'drinking_water', 'fixme': 'https://www.openstreetmap.org/note/4874294'}",822563176,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-23', 'comment': 'pumpen tillhör campingen men gissar man kan ta vattena', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/3f/SAT_Grinda_camping_vattenpump.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'wikidata': 'Q134607783'}",863394662,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-25', 'comment': 'Category:Grinda,_public_toilets_Linn_427182337', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/1/1c/SAT_Grinda_toalett_s%C3%B6dra_bryggan_20250826_03.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'name': 'Linn', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'unisex': 'yes', 'wheelchair': 'yes'}",863394827,node,1
"{'access': 'yes', 'amenity': 'toilets', 'capacity': '3', 'changing_table': 'no', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/9/9b/SAT_Grinda_20250825_Batch_20.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'name': 'Elsa', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '3', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Grinda, public toilets 863423228'}",863423228,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/2/2a/SAT_Grinda_20250825_vandring_dokumentera_05.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'name': 'Misse', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '3', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'yes', 'unisex': 'yes', 'wheelchair': 'yes', 'wikimedia_commons': 'Category:Grinda,_public_toilets_Misse_863423239'}",863423239,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/9/97/SAT_Grinda_toalett_Linn_20250825_02.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'name': 'Sara', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '3', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'yes', 'unisex': 'yes', 'wheelchair': 'yes', 'wikimedia_commons': 'Category:Grinda,_public_toilets_Sara_863423311'}",863423311,node,1
"{'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-02', 'covered': 'no', 'description': 'Påslaget 2025-08-02', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/b/b9/SAT_R%C3%A5n%C3%B6_vandring_2025_04_09.jpg', 'image:license': 'CC-0', 'indoor': 'no', 'lit': 'no', 'seasonal': 'summer', 'wikidata': 'Q134607564'}",1392309442,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-10', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/SAT_Finnhamn_camp_site_water_02.jpg/1536px-SAT_Finnhamn_camp_site_water_02.jpg', 'image:license': 'CC-0', 'lit': 'no', 'wheelchair': 'no'}",1401738704,node,1
{'amenity': 'drinking_water'},1414776609,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'wikidata': 'Q135443569'}",1822980813,node,1
