tags,id,osm_type,water_sites
{'amenity': 'drinking_water'},1848869435,node,1
"{'amenity': 'toilets', 'check_date': '2023-02-13', 'description': 'ligger mellan bryggan och seglarhotellet', 'drinking_water': 'yes', 'fee': 'no', 'hot_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toaletter_Sandhamn_%282%29.jpg/960px-Toaletter_Sandhamn_%282%29.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'opening_hours': '08:00-20:00', 'seamark:small_craft_facility:category': 'toilets', 'seamark:type': 'small_craft_facility', 'toilets:handwashing': 'yes', 'unisex': 'yes', 'wheelchair': 'yes', 'wikimedia_commons': 'Category:Sandhamn_public_toilet_13019730895'}",2495934893,node,1
{'amenity': 'drinking_water'},2908785488,node,1
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Landsort_Norrhamnen_toaletter_sopor.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433q', 'indoor': 'yes', 'opening_hours': '24/7', 'source': 'survey', 'toilets:handwashing': 'yes', 'toilets:position': 'seated', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Landsort_public_toilet_2942213743'}",2942213743,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'drinking_water': 'unknown', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/2/21/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_vattenkran_och_toalett.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'note': 'måste bekräftas', 'seasonal': 'yes'}",2943477510,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-06', 'covered': 'no', 'description': 'Dricksvattenpump på Stora Sand', 'drinking_water:seasonal': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fc/SAT_%C3%85l%C3%B6_vandring_2025_april_55_-_vatten_vid_Storsand.jpg', 'image:license': 'CC0 1.0', 'image:license:wikidata': 'Q6938433', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'name': 'Ålö Storsand dricksvattenpump', 'note': 'Drickbart vatten Ta gärna vatten – men slösa inte. Det är ont om färskvatten i hela skärgården.', 'note:en': 'Drinkable water Please save on water. There is a water scarcity in the archipelago', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q134605030', 'wikimedia_commons': 'Category:Ålö Storsand drinking water'}",3431736753,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fb/SAT_Grinda_20250825_bes%C3%B6k_03.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'limited', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Grinda,_public_toilets_4239095028'}",4239095028,node,1
"{'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-07-31', 'covered': 'no', 'description': 'sitter skylt ”pga Vattenbrist är vattnet missfärgat. Går bra att diska och tvätta sig. Drick ej”', 'drinking_water': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/2/22/SATN%C3%A5ttar%C3%B6_2025_april_%28222%29_vattenkran.jpg', 'indoor': 'no', 'lit': 'no', 'operator': 'Skärgårdsstiftelsen', 'wikidata': 'Q134987122', 'wikimedia_commons': 'Category:Nåttarö_hostel_drinking_water'}",4879006116,node,1
"{'amenity': 'drinking_water', 'fee': 'no', 'wheelchair': 'no', 'wikidata': 'Q135230746'}",4936508701,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/R%C3%A5n%C3%B6_20250802_18.jpg/960px-R%C3%A5n%C3%B6_20250802_18.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'seasonal': 'summer', 'wikidata': 'Q135458780', 'wikimedia_commons': 'Category:Rånö_drinking_water_Rånö_livs'}",4936509760,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-26', 'comment': 'Vattnet ej kontrollerat enligt Livsmedelsverkets föreskrifter för dricksvatten', 'drinking_water': 'unknown', 'image': 'https://upload.wikimedia.org/wikipedia/commons/e/eb/SAT_N%C3%A4md%C3%B6_b_12.jpg', 'image:license': 'CC-0', 'man_made': 'water_well', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q134726995', 'wikimedia_commons': 'Category:Nämdö_camping_drinking_water'}",4958553279,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-08-13', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/SAT_Arholma_20250813_vandring_leden_06.jpg/1536px-SAT_Arholma_20250813_vandring_leden_06.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Österhamn Pump', 'wheelchair': 'no', 'wikidata': 'Q135268016', 'wikimedia_commons': 'Category:Arholma Österhamn dricksvatten'}",4990875342,node,1
"{'access': 'customers', 'amenity': 'toilets', 'drinking_water': 'yes', 'toilets:disposal': 'flush', 'toilets:position': 'seated;urinal', 'unisex': 'yes', 'wheelchair': 'no'}",5005120552,node,1
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes', 'highway': 'rest_area', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/4a/SAT_Ut%C3%B6_2025_maj_Toaletter_Hamnboden_public_toaletts.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Vänthall', 'opening_hours': '24/7', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wikimedia_commons': 'Category:Utö_public_toilets_5006428827'}",5006428827,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'fixme': 'https://www.openstreetmap.org/note/4704932', 'wheelchair': 'no'}",5013691335,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-04-18', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/SAL_Finnhamn_stugbyn_vattenpump_01.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_01.jpg', 'man_made': 'water_well', 'pump': 'manual', 'wikidata': 'Q134704553'}",5630510921,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-04', 'description': 'fungerar 20250804 egen test', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/0/09/SAT_%C3%85l%C3%B6_vandring_2025_april_05_vattenpump.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'man_made': 'water_well', 'note': 'Drickbart vatten Ta gärna vatten – men slösa inte. Det är ont om färskvatten i hela skärgården.', 'note:en': 'Drinkable water Please save on water. There is a water scarcity in the archipelago', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'wheelchair': 'no', 'wikidata': 'Q134985579', 'wikimedia_commons': 'Category:Ålö_ferry_stop_drinking_water'}",5728811330,node,1
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Fl%C3%A4skberget_AED.jpg/2560px-Fl%C3%A4skberget_AED.jpg', 'image:license': 'CC-0', 'opening_hours': '8:00-18:00', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes'}",5734098673,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-13', 'covered': 'no', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Arholma_SAT_20250813_18_dricksvattenpump.jpg/1536px-Arholma_SAT_20250813_18_dricksvattenpump.jpg', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'note': 'Vattnet verkar ha mycket järn och ej testat', 'note:en': 'The water seems to have a lot of iron and has not been tested', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q135267999', 'wikimedia_commons': 'Category:Arholma_camping_dricksvatten'}",5745003240,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SAT_R%C3%A5n%C3%B6_vattenpump_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_vattenpump_vid_t%C3%A4ltplatsen.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'wheelchair': 'no', 'wikidata': 'Q134985660', 'wikimedia_commons': 'Category:Rånö_drinking_water_camp_site'}",5798509123,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-04-18', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/SAL_Finnhamn_stugbyn_vattenpump_2.jpg/500px-SAL_Finnhamn_stugbyn_vattenpump_2.jpg', 'man_made': 'water_well', 'pump': 'manual'}",6535493386,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-26', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Sk%C3%A4rg%C3%A5rdsmuseet_dricksvatten.jpg/960px-Sk%C3%A4rg%C3%A5rdsmuseet_dricksvatten.jpg', 'image:license': 'CC-0', 'man_made': 'water_tap', 'wikimedia_commons': 'Category:Nämdö_Archipelago_Museum_drinking_water'}",7784414173,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/V%C3%A4strahamnen_toaletter_2025_juni.jpg/2560px-V%C3%A4strahamnen_toaletter_2025_juni.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'mapillary': '2118726731974715', 'opening_hours': '24/7', 'source': 'survey', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Landsort_public_toilet_9907275660'}",9907275660,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-04-19', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Finnhamn_Idholmen_vattenkran_stugbyn_-_avst%C3%A4ngd.jpg/500px-SAT_Finnhamn_Idholmen_vattenkran_stugbyn_-_avst%C3%A4ngd.jpg', 'man_made': 'water_tap', 'seasonal': 'summer'}",9936118752,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-20', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/SAT_Landsort_52.jpg/1536px-SAT_Landsort_52.jpg', 'image:license': 'CC-0', 'mapillary': '1195404905229853', 'wikidata': 'Q134985757', 'wikimedia_commons': 'Category:Landsort_drinking_water_western_harborn'}",10948911479,node,1
"{'amenity': 'drinking_water', 'charge': '2 kronor/ liter', 'check_date': '2025-04-03', 'fee': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/SAT_M%C3%B6ja_vandring_2025_april_04_Vatten_att_k%C3%B6pa.jpg/500px-SAT_M%C3%B6ja_vandring_2025_april_04_Vatten_att_k%C3%B6pa.jpg', 'image:license': 'CC-0', 'man_made': 'water_tap', 'wikidata': 'Q135434981'}",11066973234,node,1
{'amenity': 'drinking_water'},11079164849,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-04-19', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/d/dc/SAT_Finnhamn_vattenkran.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'CC-0', 'man_made': 'water_tap', 'seasonal': 'summer', 'wikidata': 'Q134717347', 'wikimedia_commons': 'Category:Finnhamn_grocery_store_drinking_water'}",12090393146,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'description': 'Handdriven vattenpump'}",12722707517,node,1
"{'access': 'private', 'amenity': 'drinking_water', 'check_date': '2025-04-05', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/84/SAT_%C3%85l%C3%B6_vandring_2025_april_83_vattenpump_troligen_privat.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'note': 'privat pump ibland med en skylt att det är ok att ta vatten'}",12738887790,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-08', 'drinking_water': 'unspecified', 'image': 'https://upload.wikimedia.org/wikipedia/commons/1/18/SAT_Ut%C3%B6_2025_april_101.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'note': 'Pump tveksamt om vattnet är testat'}",12738887792,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-08', 'description': 'Vattnet otjänligt enl. Test', 'drinking_water': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/9/9e/SAT_Ut%C3%B6_2025_april_124.jpg', 'image:license': 'CC-0'}",12738920397,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-23', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/4b/SATN%C3%A5ttar%C3%B6_2025_april_dricksvatten_%282%29.jpg', 'image:license': 'CC0 1.0', 'image:license:wikidata': 'Q10670989', 'operator': 'Nåttarö gård och resort', 'operator:wikidata': 'Q134691316', 'wikimedia_commons': 'Category:Nåttarö_drinking_water'}",12869950725,node,1
"{'access': 'official', 'amenity': 'drinking_water', 'check_date': '2025-06-21', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fa/%C3%96ja_campingplats_dricksvatten_01.jpg', 'image:license': 'CC-0', 'indoor': 'no', 'mapillary': '1183505873462084', 'wikidata': 'Q135011579'}",12942415533,node,1
"{'amenity': 'drinking_water', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/47/North_harbor_drinking_water_Landsort.jpg', 'image:license': 'CC-0', 'wikidata': 'Q134986918'}",12945087542,node,1
"{'access': 'private', 'amenity': 'drinking_water', 'check_date': '2025-04', 'drinking_water': 'unknown', 'image': 'https://upload.wikimedia.org/wikipedia/commons/e/ef/SAT_Lid%C3%B6_%28170%29.jpg', 'image:license': 'CC-0', 'note': 'Vattenkran utanför Lidö Värdshus, avstängd i april 2025. Dricksvattenstatus ej verifierad', 'operator': 'Lidö Värdshus', 'seasonal': 'yes', 'source': 'groundwater'}",13030994018,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/9/91/SATN%C3%A5ttar%C3%B6_2025_april_%28248%29_toalett_tv%C3%A4ttst%C3%A4ll.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '4', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'wikimedia_commons': 'Category:Nåttarö_toilet_13041364818'}",13041364818,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Landsort_sj%C3%B6fartsverket_mappilary_%28cropped%29.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'mapillary': '2118726731974715', 'opening_hours': '24/7', 'source': 'survey', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '1', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Landsort_public_toilet_9907275660'}",13041911527,node,1
"{'access': 'unknown', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-06', 'description': 'Osäker om drickbart', 'drinking_water': 'conditional', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/39/SAT_Ut%C3%B6_2025_april_99.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Vattenpump'}",13052360067,node,1
"{'access': 'permissive', 'amenity': 'drinking_water', 'bottle': 'yes', 'covered': 'yes', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg/960px-Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg', 'image:license': 'CC-0', 'indoor': 'yes', 'lit': 'yes', 'name': 'Ingmarsö Gästhamn Dricksvatten', 'seasonal': 'summer', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Ingmarsö_drinking_water'}",13064822373,node,1
"{'access': 'customers', 'amenity': 'drinking_water', 'bottle': 'yes', 'covered': 'no', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Arholma_20250816_02.jpg/2560px-Arholma_20250816_02.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'operator': 'Arholma Dansbana', 'operator:wikidata': 'Q134667339'}",13072501851,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/SAT_Grinda_20250825_visit_Batch_5.jpg/1536px-SAT_Grinda_20250825_visit_Batch_5.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433'}",13096050076,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-08-25', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989'}",13096093701,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SAT_Grinda_20250825_Batch_5.jpg/3024px-SAT_Grinda_20250825_Batch_5.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989'}",13096119643,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/SAT_Grinda_20250825_vandring_dokumentera_11.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_11.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Cissi', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Grinda, public toilets Cissi 13098060270'}",13098060270,node,1
"{'access': 'customers', 'amenity': 'toilets', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Grinda_20250825_vandring_03.jpg/3024px-Grinda_20250825_vandring_03.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'source': 'survey', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '3', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'yes', 'unisex': 'yes', 'wheelchair': 'yes', 'wikimedia_commons': 'Category:Grinda,_public_toilets_Grinda_Wärdshus'}",13098083627,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/4d/SAT_Grinda_20250825_Batch_4.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'survey', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Grinda,_public_toilets_13098115083'}",13098115083,node,1
"{'access': 'yes', 'amenity': 'toilets', 'building': 'yes', 'changing_table': 'no', 'check_date': '2025-08-25', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/e/e4/SAT_Grinda_Linn_20250825_01.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'indoor': 'yes', 'name': 'Lena', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'source': 'Bing', 'toilets:handwashing': 'yes', 'toilets:num_chambers': '2', 'toilets:paper_supplied': 'yes', 'toilets:position': 'seated', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Grinda,_public_toilets_Lena_427182337'}",427182337,way,1
