id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,mapillary_links,access,opening_hours,fee,wheelchair,toilets:num_chambers,unisex,drinking_water,changing_table,toilets:paper_supplied,indoor,operator,website,source,wikidata,wikimedia_commons,image,mapillary,toilets:handwashing,toilets:position
4958820945,node,59.20183879999999,18.7122338,SAT Nämdö,Nämdö,291.4,1,,"opening_hours, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source",,,[],yes,,no,,,,,,,,Skärgårdsstiftelsen,,,,,,,,
5860551264,node,59.4114647,18.8965516,SAT Möja,Möja,211.3,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
7141411810,node,59.2920815,18.918248999999996,SAT Sandhamn,Sandön,350.0,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
11231068339,node,58.88944440000001,18.1336288,SAT Nåttarö,Nåttarö,307.0,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
12076565048,node,59.4049686,18.5713472,SAT Grinda,Grinda,227.2,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
12862899770,node,58.87758380000001,18.1079424,SAT Nåttarö,Nåttarö,267.8,1,https://upload.wikimedia.org/wikipedia/commons/2/2e/SATN%C3%A5ttar%C3%B6_2025_april_toaletter_%282%29.jpg,"opening_hours, drinking_water, indoor, operator, website, source",Category:Nåttarö_public_toilet_12862899770,https://commons.wikimedia.org/wiki/Category:N%C3%A5ttar%C3%B6_public_toilet_12862899770,[],yes,,no,no,1,yes,,yes,yes,,,,,,Category:Nåttarö_public_toilet_12862899770,https://upload.wikimedia.org/wikipedia/commons/2/2e/SATN%C3%A5ttar%C3%B6_2025_april_toaletter_%282%29.jpg,,no,
13081071658,node,58.8796001,18.1077503,SAT Nåttarö,Nåttarö,230.3,2,https://upload.wikimedia.org/wikipedia/commons/f/fd/SATN%C3%A5ttar%C3%B6_2025_april_toaletter.jpg,"opening_hours, fee, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",Category:Nåttarö_toilet_13081071658,https://commons.wikimedia.org/wiki/Category:N%C3%A5ttar%C3%B6_toilet_13081071658,[],yes,,,no,2,yes,,,,,,,,,Category:Nåttarö_toilet_13081071658,https://upload.wikimedia.org/wikipedia/commons/f/fd/SATN%C3%A5ttar%C3%B6_2025_april_toaletter.jpg,,,
248207893,way,59.0441489,18.5097849,SAT Fjärdlång,Fjärdlång,342.7,1,,"opening_hours, wheelchair, toilets:num_chambers, changing_table, toilets:paper_supplied, indoor, website, source",,,[],yes,,no,,,yes,no,,,,Skärgårdsstiftelsen,,,,,,,,seated
833889554,way,59.1849827,18.7006724,SAT Nämdö,Nämdö,379.9,1,,"opening_hours, wheelchair, toilets:num_chambers, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,no,,,yes,yes,,,,,,,,,,,,
