id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,mapillary_links,access,opening_hours,fee,wheelchair,toilets:num_chambers,unisex,drinking_water,changing_table,toilets:paper_supplied,indoor,operator,website,source,wikidata,wikimedia_commons,image,mapillary,toilets:handwashing,toilets:position
12748135109,node,58.87168400000002,18.1313502,SAT Nåttarö,Nåttarö,14.7,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
12815485678,node,59.6100827,18.8263119,SAT Yxlan,Yxlan,94.3,1,https://upload.wikimedia.org/wikipedia/commons/8/84/SAT_Yxlan_2025_maj_5_-_Hamnholmen_toalett_%281%29.jpg,"access, toilets:num_chambers, drinking_water, changing_table, indoor, operator, website, source",Category:Hamnholmen_toalett,https://commons.wikimedia.org/wiki/Category:Hamnholmen_toalett,[],,24/7,no,no,,yes,,,yes,,,,,,Category:Hamnholmen_toalett,https://upload.wikimedia.org/wikipedia/commons/8/84/SAT_Yxlan_2025_maj_5_-_Hamnholmen_toalett_%281%29.jpg,,no,
12836949181,node,59.47555409999999,18.821863899999997,SAT Finnhamn,Finnhamn,3.4,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SAT_Finnhamn_2025_april_sopor_toalett.jpg/1024px-SAT_Finnhamn_2025_april_sopor_toalett.jpg,"opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",Category:Lilla_Jolpan_toalett_node_12836949181,https://commons.wikimedia.org/wiki/Category:Lilla_Jolpan_toalett_node_12836949181,[],no,,no,no,,,,,,,,,,,Category:Lilla_Jolpan_toalett_node_12836949181,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SAT_Finnhamn_2025_april_sopor_toalett.jpg/1024px-SAT_Finnhamn_2025_april_sopor_toalett.jpg,,no,
12849416944,node,58.87755119999999,18.1324348,SAT Nåttarö,Nåttarö,79.3,1,https://upload.wikimedia.org/wikipedia/commons/3/31/SATN%C3%A5ttar%C3%B6_2025_april_toalett_Storsand.jpg,"wheelchair, toilets:num_chambers, drinking_water, changing_table, indoor, website, source",Category:Nåttarö_public_toilets,https://commons.wikimedia.org/wiki/Category:N%C3%A5ttar%C3%B6_public_toilets,[],public,24/7,no,,,yes,,,yes,,Skärgårdsstiftelsen,,,,Category:Nåttarö_public_toilets,https://upload.wikimedia.org/wikipedia/commons/3/31/SATN%C3%A5ttar%C3%B6_2025_april_toalett_Storsand.jpg,,no,
13037259125,node,58.8803181,18.111406799999997,SAT Nåttarö,Nåttarö,6.1,3,,"fee, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source",,,[],official,24/7,,yes,,yes,,,,,Skärgårdsstiftelsen,,,,,,,,
13041364818,node,58.880430099999984,18.116073400000005,SAT Nåttarö,Nåttarö,63.2,1,,"opening_hours, fee, wheelchair, toilets:num_chambers, unisex, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,,,,,yes,,,,,,,,,,,yes,
13041911527,node,58.744608299999996,17.8652507,SAT Landsort,Öja,9.3,1,,"toilets:num_chambers, drinking_water, indoor, operator, website, source",,,[],yes,24/7,no,no,,yes,,no,yes,,,,,,,,,yes,
13045581191,node,58.91968700000001,18.1764135,SAT Rånö,Rånö,31.6,2,,"opening_hours, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,no,no,,yes,,no,,,,,,,,,,no,toilets:position=seated
13045581192,node,58.9198493,18.1751578,SAT Rånö,Rånö,10.1,1,,"toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, website, source",,,[],yes,24/7,no,yes,,yes,,yes,,,Skärgårdsstiftelsen,,,,,,,no,toilets:position=seated
13050416339,node,58.97851279999998,18.3634318,SAT Utö,Utö,1.9,1,,"opening_hours, wheelchair, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,no,,,yes,,no,,,,,,,,,,,
13061745475,node,59.48247860000001,18.824970899999997,SAT Finnhamn,Finnhamn,27.1,1,,"opening_hours, wheelchair, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,no,,,yes,,,,,,,,,,,,yes,
13061781619,node,59.481327699999994,18.8234623,SAT Finnhamn,Finnhamn,52.5,3,,"opening_hours, unisex, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,no,no,3,,,no,,,,,,,,,,no,
13063312449,node,59.469258200000006,18.7607388,SAT Ingmarsö,Ingmarsö,23.1,2,,"fee, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,24/7,,no,2,yes,,no,,,,,,,,,,no,
13063317163,node,59.46726720000001,18.757257,SAT Ingmarsö,Ingmarsö,21.6,1,,"opening_hours, toilets:num_chambers, unisex, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,no,no,,,,no,,,,,,,,,,no,
13065225866,node,59.4754826,18.8084516,SAT Finnhamn,Finnhamn,55.8,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Finnhamn_20250811_SAT_01.jpg/1536px-Finnhamn_20250811_SAT_01.jpg,"toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,24/7,no,no,,yes,,no,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Finnhamn_20250811_SAT_01.jpg/1536px-Finnhamn_20250811_SAT_01.jpg,,,
13067993747,node,59.84458310000001,19.1103746,SAT Arholma,Arholma,25.2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg/1536px-Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg,"access, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",Category:Bull-August,https://commons.wikimedia.org/wiki/Category:Bull-August,[],,24/7,no,no,,yes,,,,,,,,,Category:Bull-August,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg/1536px-Vandrarhem_Bull_August_g%C3%A5rd_20250813_14.jpg,,yes,
13072501854,node,59.8501324,19.1092645,SAT Arholma,Arholma,21.2,1,,"opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,,,,,,,,,,,,,,,,,
292553972,way,59.85022989999999,19.1096908,SAT Arholma,Arholma,4.5,1,,"toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,24/7,no,no,,yes,,no,,,,,,,,,,no,
322935651,way,58.88079079999999,18.1199857,SAT Nåttarö,Nåttarö,38.7,1,,"opening_hours, wheelchair, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,no,,,yes,,,,,,,,,,,,yes,
322935663,way,58.8867808,18.1369827,SAT Nåttarö,Nåttarö,11.4,8,,"toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, website, source",,,[],yes,24/7,no,no,,yes,,no,,,Skärgårds stiftelsen,,,,,,,no,
506814565,way,59.4787146,18.812992600000005,SAT Finnhamn,Finnhamn,13.9,1,,"access, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],,24/7,no,no,,yes,,no,,,,,,,,,,,
507890625,way,59.77867059999998,19.091762,SAT Lidö,Lidö,83.2,2,,"opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, indoor, website, source",,,[],yes,,,,,,,,yes,,Skärgårdsstiftelsen,,,,,,,no,
703944414,way,59.04464180000001,18.5124711,SAT Fjärdlång,Fjärdlång,180.8,1,,"opening_hours, wheelchair, toilets:num_chambers, changing_table, toilets:paper_supplied, indoor, website, source",,,[],yes,,no,,,yes,no,,,,Skärgårdsstiftelsen,,,,,,,,seated
833809121,way,59.1930304,18.7155773,SAT Nämdö,Nämdö,7.4,1,,"opening_hours, wheelchair, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source",,,[],yes,,no,,,yes,,,,,Skärgårdsstiftelsen,,,,,,,,seated
1089639090,way,58.881000599999986,18.1126803,SAT Nåttarö,Nåttarö,91.7,1,,"toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,same as Nåttarö Krog,no,limited,,yes,,,,,,,,,,,,,
1089639096,way,58.8816973,18.1173863,SAT Nåttarö,Nåttarö,164.9,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,no,,,,,,,,,,,,,,,
1089664761,way,58.8816407,18.1140001,SAT Nåttarö,Nåttarö,192.3,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,yes,,,,,,,,,,,,,
1145185653,way,59.27390569999999,18.924231799999998,SAT Sandhamn,Sandön,6.6,1,,"opening_hours, fee, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,,no,,yes,,no,,,,,,,,,,no,
1145185654,way,59.274363399999984,18.921221,SAT Sandhamn,Sandön,6.5,1,,"opening_hours, fee, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,,,no,,yes,,no,,,,,,,,,,no,
1305192614,way,59.4822023,18.8232442,SAT Finnhamn,Finnhamn,14.3,1,,"toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],yes,24/7,no,no,,yes,,,,,,,,,,,,no,
1305276862,way,59.4822118,18.8120817,SAT Finnhamn,Finnhamn,25.5,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
1305279425,way,59.40703280000001,18.8854126,SAT Möja,Möja,8.5,1,,"opening_hours, fee, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,,no,,yes,,no,,,,,,,,,,,
1305281226,way,59.41031190000002,18.8871311,SAT Möja,Möja,33.3,1,,"opening_hours, fee, wheelchair, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,,,,yes,,,,,,,,,,,,,
1416467437,way,59.03652229999997,18.5129033,SAT Fjärdlång,Fjärdlång,93.4,4,https://upload.wikimedia.org/wikipedia/commons/4/47/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_reception.jpg,"wheelchair, toilets:num_chambers, drinking_water, indoor, operator, website, source",Category:Fjärdlång_public_toilets,https://commons.wikimedia.org/wiki/Category:Fj%C3%A4rdl%C3%A5ng_public_toilets,[],yes,24/7,no,,,yes,,no,yes,,,,,,Category:Fjärdlång_public_toilets,https://upload.wikimedia.org/wikipedia/commons/4/47/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_reception.jpg,,no,
1418915972,way,58.88687939999999,18.1370408,SAT Nåttarö,Nåttarö,11.4,8,,"toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, website, source",,,[],yes,24/7,no,no,,yes,,no,,,Skärgårds stiftelsen,,,,,,,no,
1422474180,way,59.850152800000004,19.1092687,SAT Arholma,Arholma,19.3,1,,"opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],customers,,,,,,,no,,,,,,,,,,,
