id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,mapillary_links,access,opening_hours,fee,wheelchair,toilets:num_chambers,unisex,drinking_water,changing_table,toilets:paper_supplied,indoor,operator,website,source,wikidata,wikimedia_commons,image,mapillary,toilets:handwashing,toilets:position
426925731,node,59.6602993,18.9156089,SAT Furusund,Furusund,17.0,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
863394740,node,59.41759050000001,18.5593101,SAT Grinda,Grinda,6.8,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,limited,,,,,,,,,,,,,,,
863394751,node,59.4174664,18.5587252,SAT Grinda,Grinda,3.7,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,limited,,,,,,,,,,,,,,,
863394827,node,59.4079202,18.5549403,SAT Grinda,Grinda,3.6,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,yes,,,,,,,,,,,,,,,
863423228,node,59.40698770000001,18.5645766,SAT Grinda,Grinda,9.3,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
863423239,node,59.41182870000001,18.5579106,SAT Grinda,Grinda,4.5,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
863423311,node,59.40754569999999,18.5598839,SAT Grinda,Grinda,4.1,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
863423335,node,59.407042600000004,18.564490299999996,SAT Grinda,Grinda,13.0,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
1234107386,node,58.969961999999974,18.3580729,SAT Utö,Utö,17.1,1,,"opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],no,,,,,,,,,,,,,,,,,,
1401739421,node,59.47595010000002,18.8176987,SAT Finnhamn,Finnhamn,144.3,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/SAT_Finnhamn_camp_site_south_08.jpg/1280px-SAT_Finnhamn_camp_site_south_08.jpg,"access, opening_hours, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,yes,,yes,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/SAT_Finnhamn_camp_site_south_08.jpg/1280px-SAT_Finnhamn_camp_site_south_08.jpg,,no,
1401993169,node,59.47675959999999,18.8238701,SAT Finnhamn,Finnhamn,16.0,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,no,,,,,,,,,,,,,,,
1412263117,node,58.91019489999999,18.218038500000002,SAT Ålö,Ålö,35.0,1,https://commons.wikimedia.org/entity/M163246546,"opening_hours, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source","Category:Ålö_storsand,_public_toilets",https://commons.wikimedia.org/wiki/Category:%C3%85l%C3%B6_storsand%2C_public_toilets,[],yes,,no,,,,,,,,Skärgårdsstiftelsen,,,,"Category:Ålö_storsand,_public_toilets",https://commons.wikimedia.org/entity/M163246546,,no,
1848869434,node,59.84269910000001,19.1192646,SAT Arholma,Arholma,7.5,1,,"opening_hours, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, website, source",,,[],yes,,no,no,,yes,,no,,,Norrtälje kommun,,,,,,,,
